filename	participantID	context	block	trial	condition	L1	L1t	H1	H1t	rise1	f0n1	slopen1	L2	L2t	H2	H2t	rise2	f0n2	slopen2	s1dur	s1reln1	s2dur	s2reln1	s3dur	s3reln1	s4dur	s4reln1	s4glott	syll1reln1	syll2reln1	s5dur	s5reln2	s6dur	s6reln2	s7dur	s7reln2	s8dur	s8reln2	s8glott	syll1reln2	syll2reln2	s9dur	s10dur	s11dur	s12dur	p1dur	n1p1dur	p2dur	p3dur	p3relutt	n2p3dur	p4dur	c1dur	c2dur	cons1dur	cons2dur	cons1u2	utt_dur(ms)	hes	comments
01_C01_b1_t01_mimmi_nob	01	C01	b1	t01	nob	178.62	0.37	263.7	0.63	6.74	rise	25.38	189.11	1.07	211.65	1.24	1.95	rise	11.441	104.13	25.192	126.61	30.63	77.68	18.794	104.92	25.384	?	55.822	44.178	33.31	11.429	70.42	24.161	74.81	25.668	112.92	38.742	?	35.59	64.41	42.38	145.27	69.88	163.79	?	413.335	?	?	0	291.459	37.64	337.91	204.87	1042.71	663.83	1706.54	1706.54	?	NA
01_C01_b1_t02_lilli_nob	01	C01	b1	t02	nob	174.67	0.36	249.28	0.62	6.16	rise	23.715	172.15	1.1	222.93	1.29	4.48	rise	23.556	82.2	17.243	141.91	29.77	87.59	18.375	164.99	34.611	?	47.013	52.987	59.28	17.224	59.24	17.214	80.85	23.493	144.79	42.07	?	34.438	65.562	57.92	148.96	69.65	160.68	53.44	530.132	?	?	0	344.166	19.62	231.58	213.47	1105.88	670.3	1776.18	1776.18	?	NA
01_C01_b1_t03_nelli_bra	01	C01	b1	t03	bra	184.46	0.34	254.41	0.52	5.57	rise	30.218	174.33	1.03	243.72	1.31	5.8	rise	20.663	44.8	12.765	70.69	20.143	89.28	25.44	146.17	41.652	?	32.908	67.092	60.95	13.194	93.32	20.203	71.26	15.426	236.41	51.177	?	33.397	66.603	54.22	108.23	59.4	162.05	?	350.937	70.88	183.71	9.743	645.656	?	210.07	224.18	1093.82	608.08	1701.9	1885.61	?	NA
01_C01_b1_t04_manni_nob	01	C01	b1	t04	nob	179.61	0.34	248.61	0.54	5.63	rise	28.906	166.78	1.07	211.08	1.25	4.08	rise	22.778	64.68	17.603	60.28	16.407	83.7	22.781	158.76	43.208	?	34.011	65.989	89.76	17.891	105.85	21.099	74.46	14.841	231.62	46.169	?	38.99	61.01	86.93	90.11	73.49	201.08	?	367.422	?	81.51	4.198	583.194	?	284.74	254.79	1153.85	706.4	1860.25	1941.76	?	 nine statt nina
01_C01_b1_t07_leni_nob	01	C01	b1	t07	nob	173.37	0.39	242.34	0.63	5.8	rise	24.116	188.83	1.2	222.31	1.37	2.83	rise	16.473	114.35	21.057	133.49	24.581	75.58	13.918	219.64	40.445	?	45.637	54.363	36.35	9.586	118.17	31.162	86.5	22.81	138.19	36.442	?	40.747	59.253	43.26	100.48	65.81	184.6	46.7	589.752	?	?	0	379.216	?	237.47	197.92	1206.44	592.08	1798.51	1798.51	?	NA
01_C01_b1_t09_nelli_nob	01	C01	b1	t09	nob	179.64	0.34	258.15	0.55	6.28	rise	29.797	170.4	1.08	214.75	1.26	4.01	rise	22.836	73.55	18.089	82	20.168	80.11	19.703	170.93	42.04	?	38.256	61.744	53.29	13.849	92.8	24.116	78.07	20.289	160.64	41.745	?	37.966	62.034	54.07	113.97	62.02	107.74	?	406.586	?	?	0	384.807	?	273.88	326.19	1065.27	663.98	1729.25	1729.25	?	NA
01_C01_b1_t10_leni_bra	01	C01	b1	t10	bra	171.71	0.33	246.3	0.56	6.25	rise	26.968	166.38	0.96	234.86	1.29	5.97	rise	18.203	43.86	12.129	95.95	26.535	82.34	22.772	139.44	38.564	?	38.664	61.336	46.17	8.72	128.89	24.345	82.62	15.604	271.77	51.331	?	33.065	66.935	59.23	72.63	64.9	178.77	?	361.59	?	95.88	5.376	625.334	?	229.1	191.94	1120.15	567.46	1687.61	1783.49	?	NA
01_C01_b1_t11_moni_nob	01	C01	b1	t11	nob	172.39	0.39	240.41	0.55	5.76	rise	35.227	169.07	0.97	207.58	1.16	3.55	rise	18.695	76.33	21.58	77.61	21.943	75.28	21.283	124.49	35.195	?	43.522	56.478	94.8	23.578	112.53	27.989	76.69	19.074	118.04	29.359	?	51.567	48.433	76.14	112.74	63.04	168.81	?	353.711	?	?	0	402.059	?	204.17	172.35	959.94	593.08	1553.03	1553.03	?	NA
01_C01_b1_t12_manni_bra	01	C01	b1	t12	bra	174.45	0.33	254.96	0.52	6.57	rise	35.07	156.79	0.96	232.12	1.22	6.79	rise	26.182	50.48	15.043	72.96	21.744	70.87	21.119	141.25	42.094	?	36.787	63.213	61.68	15.467	95.51	23.948	74.27	18.624	167.34	41.961	?	39.415	60.585	39.29	92.9	77.26	198.54	?	335.564	?	225.3	12.621	624.109	?	243.23	174.17	977.61	582.16	1559.77	1785.06	?	NA
02_C01_b1_t01_manni_bra	02	C01	b1	t01	bra	211.44	0.35	244.09	0.5	2.49	rise	15.724	184.31	0.91	369.04	1.26	12.02	rise	34.573	61.18	21.733	69.43	24.665	55.1	19.573	95.79	34.029	?	46.398	53.602	76.66	15.502	93.5	18.906	80.02	16.181	244.35	49.411	?	34.408	65.592	59.88	98.06	62.94	219.21	?	281.495	?	507.65	23.434	1002.181	?	222.47	220.07	998.5	660.17	1658.66	2166.31	?	NA
