filename	participantID	context	block	trial	condition	L1	L1t	H1	H1t	rise1	f0n1	slopen1	L2	L2t	H2	H2t	rise2	f0n2	slopen2	s1dur	s1reln1	s2dur	s2reln1	s3dur	s3reln1	s4dur	s4reln1	s4glott	syll1reln1	syll2reln1	s5dur	s5reln2	s6dur	s6reln2	s7dur	s7reln2	s8dur	s8reln2	s8glott	syll1reln2	syll2reln2	s9dur	s10dur	s11dur	s12dur	p1dur	n1p1dur	p2dur	p3dur	p3relutt	n2p3dur	p4dur	c1dur	c2dur	cons1dur	cons2dur	cons1u2	utt_dur(ms)	hes	comments
model_ch_rprod_l1_t01_r2_lotti_bra_noma	mo	el_	h_	pro	oma	166.28	0.86	184.43	0.65	1.79	fall	-8.475	161.03	1.12	302.83	1.44	10.93	rise	34.164	109.48	26.236	121.57	29.136	99.96	23.957	86.25	20.671	?	55.372	44.628	64.93	13.855	112.09	23.919	89.47	19.092	202.14	43.135	?	37.774	62.226	77.09	197.2	76.45	234.42	?	417.269	?	311.79	14.779	780.416	?	159.61	167.27	1045.51	752.43	1797.94	2109.73	?	NA
model_ch_rprod_l1_t02_r1_mimmi_nob_noma	mo	el_	h_	pro	oma	194.1	0.29	306.52	0.54	7.91	rise	31.826	200.69	0.99	232.97	1.28	2.58	rise	8.88	82.74	18.583	86.87	19.51	104.85	23.548	170.79	38.359	?	38.093	61.907	74.44	17.11	116.1	26.685	96.87	22.266	147.67	33.94	?	43.794	56.206	56.68	188.25	58.4	228.57	34.9	480.134	?	53.41	2.893	488.495	?	164.52	181.18	1079.74	713.08	1792.82	1846.23	?	NA
model_ch_rprod_l1_t03_r2_gabi__nob_noma	mo	el_	h_	pro	oma	179.6	0.45	291.54	0.69	8.39	rise	34.999	175.16	1.09	248.29	1.37	6.04	rise	21.552	69.53	15.003	182.15	39.3	86	18.554	125.81	27.144	?	54.302	45.698	64.25	15.118	152.58	35.905	92.64	21.799	115.5	27.178	?	51.023	48.977	93.28	148.31	63.66	256	?	463.486	?	?	0	424.97	?	234	168.68	1122.45	729.93	1852.38	1852.38	?	NA
model_ch_rprod_l1_t04_r1_nelli_bra_noma	mo	el_	h_	pro	oma	171.11	0.7	186.97	0.53	1.53	fall	-8.617	162.73	0.97	316.27	1.35	11.5	rise	29.988	71.14	20.21	106.14	30.153	78.52	22.305	96.21	27.331	?	50.364	49.636	95.33	18.627	158.65	31	76.04	14.858	181.76	35.515	?	49.627	50.373	66.49	152.75	69.49	270.86	?	352.011	?	198.55	10.1	710.331	?	179.78	164.1	1043.57	723.69	1767.27	1965.82	?	NA
model_ch_rprod_l1_t05_r1_manni_nob_noma	mo	el_	h_	pro	oma	205.32	0.38	275.53	0.74	5.09	rise	13.889	181.59	1.14	250.76	1.58	5.59	rise	12.438	72.51	14.266	117.92	23.199	91.83	18.067	226.02	44.468	?	37.465	62.535	70.33	12.959	178.43	32.876	90.87	16.744	203.1	37.422	?	45.835	54.165	100.32	141.62	79.52	?	99.53	607.812	?	92.49	4.247	635.233	?	190.98	159.72	1341.53	624.3	1965.83	2178.08	?	NA
model_ch_rprod_l1_t06_r2_moni__bra_noma	mo	el_	h_	pro	oma	165.66	0.57	192.08	0.41	2.56	fall	-15.628	168.75	0.86	318.64	1.2	11	rise	31.854	82.56	22.505	127.37	34.721	71.15	19.395	85.76	23.379	?	57.226	42.774	51.38	11.897	102.4	23.709	80.67	18.677	197.46	45.718	?	35.605	64.395	47.26	149.6	87.09	287.07	?	366.851	?	545.48	23.177	977.393	?	208.5	229.8	1007.27	800.82	1808.09	2353.56	?	NA
model_ch_rprod_l1_t07_r2_lilli_bra_noma	mo	el_	h_	pro	oma	172.9	0.81	191.73	0.63	1.79	fall	-9.894	159.43	1.15	293.36	1.54	10.56	rise	26.538	104.72	27.904	81.21	21.639	73.82	19.67	115.54	30.787	?	49.543	50.457	33.14	6.076	219.2	40.189	72.67	13.323	220.41	40.411	?	46.266	53.734	86.05	138.74	57.61	250.51	?	375.288	?	442.81	19.383	988.224	?	212.54	175.61	1133.25	708.51	1841.76	2284.57	?	NA
model_ch_rprod_l1_t08_r2_lotti_nob_noma	mo	el_	h_	pro	oma	184.79	0.39	271.22	0.72	6.64	rise	19.835	179.52	1.1	256.34	1.32	6.17	rise	28.67	82.79	16.993	140.52	28.84	119.22	24.468	144.7	29.699	?	45.833	54.167	54.54	13.072	128.76	30.863	77.12	18.486	156.78	37.58	?	43.935	56.065	74.13	186.18	94.94	232.62	?	487.239	?	?	0	417.204	?	199.39	187.21	1103.83	775.08	1878.91	1878.91	?	NA
model_ch_rprod_l1_t09_r1_leni__bra_noma	mo	el_	h_	pro	oma	157.61	0.73	166.99	0.49	1	fall	-4.171	169.3	1.01	307.51	1.39	10.33	rise	27.44	81.8	21.839	136.49	36.441	72.84	19.448	83.42	22.272	?	58.28	41.72	73.56	15.069	88.58	18.146	101.49	20.79	224.53	45.995	?	33.215	66.785	61.12	187.76	85.57	195.37	?	374.546	?	186.81	9.559	674.977	?	198.12	176.72	1060.84	706.55	1767.39	1954.2	?	NA
model_ch_rprod_l1_t10_r1_manni_bra_noma	mo	el_	h_	pro	oma	158.2	0.74	170.06	0.58	1.25	fall	-7.407	159.97	1.1	290.07	1.5	10.3	rise	25.853	74.36	18.96	114.26	29.134	77.72	19.818	125.84	32.087	?	48.094	51.906	50.99	9.678	181.94	34.533	76.59	14.538	217.33	41.25	?	44.212	55.788	78.91	142.94	69.7	253.69	?	392.183	?	248.92	11.684	775.763	?	229.07	188.12	1148.1	733.36	1881.45	2130.37	?	NA
