stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
1	mimmi_ch	mimmi_ch_FL_0_1636	0.2245	0.0607	18.7042	0.9951	0.2242	0.0003	0.4882	0.3243	0.4879	45.9951	45.9599	0.0352	0.1636
2	mimmi_ch	mimmi_ch_FL_0_1633	0.2245	0.0607	18.7042	0.9901	0.2239	0.0006	0.4882	0.3243	0.4876	45.9951	45.9262	0.0689	0.1633
3	mimmi_ch	mimmi_ch_FL_0_1630	0.2245	0.0607	18.7042	0.9852	0.2236	0.0009	0.4882	0.3243	0.4873	45.9951	45.8925	0.1026	0.163
4	mimmi_ch	mimmi_ch_FL_0_1627	0.2245	0.0607	18.7042	0.9802	0.2233	0.0012	0.4882	0.3243	0.487	45.9951	45.8587	0.1364	0.1627
5	mimmi_ch	mimmi_ch_FL_0_1624	0.2245	0.0607	18.7042	0.9753	0.223	0.0015	0.4882	0.3243	0.4867	45.9951	45.8248	0.1703	0.1624
6	mimmi_ch	mimmi_ch_FL_0_1621	0.2245	0.0607	18.7042	0.9703	0.2227	0.0018	0.4882	0.3243	0.4864	45.9951	45.7909	0.2042	0.1621
7	mimmi_ch	mimmi_ch_FL_0_1618	0.2245	0.0607	18.7042	0.9654	0.2224	0.0021	0.4882	0.3243	0.4861	45.9951	45.757	0.2381	0.1618
8	mimmi_ch	mimmi_ch_FL_0_1615	0.2245	0.0607	18.7042	0.9604	0.2221	0.0024	0.4882	0.3243	0.4858	45.9951	45.7231	0.272	0.1615
9	mimmi_ch	mimmi_ch_FL_0_1612	0.2245	0.0607	18.7042	0.9555	0.2218	0.0027	0.4882	0.3243	0.4855	45.9951	45.6891	0.306	0.1612
10	mimmi_ch	mimmi_ch_FL_0_1609	0.2245	0.0607	18.7042	0.9505	0.2215	0.003	0.4882	0.3243	0.4852	45.9951	45.655	0.3401	0.1609
11	mimmi_ch	mimmi_ch_FL_0_1606	0.2245	0.0607	18.7042	0.9456	0.2212	0.0033	0.4882	0.3243	0.4849	45.9951	45.6209	0.3742	0.1606
12	mimmi_ch	mimmi_ch_FL_0_1603	0.2245	0.0607	18.7042	0.9406	0.2209	0.0036	0.4882	0.3243	0.4846	45.9951	45.5868	0.4083	0.1603
13	mimmi_ch	mimmi_ch_FL_0_1600	0.2245	0.0607	18.7042	0.9357	0.2206	0.0039	0.4882	0.3243	0.4844	45.9951	45.5526	0.4425	0.16
14	mimmi_ch	mimmi_ch_FL_0_1597	0.2245	0.0607	18.7042	0.9308	0.2203	0.0042	0.4882	0.3243	0.4841	45.9951	45.5184	0.4767	0.1597
15	mimmi_ch	mimmi_ch_FL_0_1594	0.2245	0.0607	18.7042	0.9258	0.22	0.0045	0.4882	0.3243	0.4838	45.9951	45.4842	0.5109	0.1594
16	mimmi_ch	mimmi_ch_FL_0_1591	0.2245	0.0607	18.7042	0.9209	0.2197	0.0048	0.4882	0.3243	0.4835	45.9951	45.4499	0.5452	0.1591
17	mimmi_ch	mimmi_ch_FL_0_1588	0.2245	0.0607	18.7042	0.9159	0.2194	0.0051	0.4882	0.3243	0.4832	45.9951	45.4155	0.5796	0.1588
18	mimmi_ch	mimmi_ch_FL_0_1585	0.2245	0.0607	18.7042	0.911	0.2191	0.0054	0.4882	0.3243	0.4829	45.9951	45.3812	0.6139	0.1585
19	mimmi_ch	mimmi_ch_FL_0_1582	0.2245	0.0607	18.7042	0.906	0.2188	0.0057	0.4882	0.3243	0.4826	45.9951	45.3468	0.6484	0.1582
20	mimmi_ch	mimmi_ch_FL_0_1579	0.2245	0.0607	18.7042	0.9011	0.2185	0.006	0.4882	0.3243	0.4823	45.9951	45.3123	0.6828	0.1579
21	mimmi_ch	mimmi_ch_FL_0_1576	0.2245	0.0607	18.7042	0.8961	0.2182	0.0063	0.4882	0.3243	0.482	45.9951	45.2778	0.7173	0.1576
22	mimmi_ch	mimmi_ch_FL_0_1573	0.2245	0.0607	18.7042	0.8912	0.2179	0.0066	0.4882	0.3243	0.4817	45.9951	45.2432	0.7519	0.1573
23	mimmi_ch	mimmi_ch_FL_0_1570	0.2245	0.0607	18.7042	0.8862	0.2176	0.0069	0.4882	0.3243	0.4814	45.9951	45.2087	0.7865	0.157
24	mimmi_ch	mimmi_ch_FL_0_1567	0.2245	0.0607	18.7042	0.8813	0.2173	0.0072	0.4882	0.3243	0.4811	45.9951	45.174	0.8211	0.1567
25	mimmi_ch	mimmi_ch_FL_0_1564	0.2245	0.0607	18.7042	0.8764	0.217	0.0075	0.4882	0.3243	0.4808	45.9951	45.1393	0.8558	0.1564
26	mimmi_ch	mimmi_ch_FL_0_1561	0.2245	0.0607	18.7042	0.8714	0.2167	0.0078	0.4882	0.3243	0.4805	45.9951	45.1046	0.8905	0.1561
27	mimmi_ch	mimmi_ch_FL_0_1558	0.2245	0.0607	18.7042	0.8665	0.2164	0.0081	0.4882	0.3243	0.4802	45.9951	45.0699	0.9252	0.1558
28	mimmi_ch	mimmi_ch_FL_0_1555	0.2245	0.0607	18.7042	0.8615	0.2161	0.0084	0.4882	0.3243	0.4799	45.9951	45.0351	0.96	0.1555
29	mimmi_ch	mimmi_ch_FL_0_1552	0.2245	0.0607	18.7042	0.8566	0.2158	0.0087	0.4882	0.3243	0.4796	45.9951	45.0002	0.9949	0.1552
30	mimmi_ch	mimmi_ch_FL_0_1549	0.2245	0.0607	18.7042	0.8516	0.2155	0.009	0.4882	0.3243	0.4793	45.9951	44.9653	1.0298	0.1549
31	mimmi_ch	mimmi_ch_FL_0_1546	0.2245	0.0607	18.7042	0.8467	0.2152	0.0093	0.4882	0.3243	0.479	45.9951	44.9304	1.0647	0.1546
32	mimmi_ch	mimmi_ch_FL_0_1543	0.2245	0.0607	18.7042	0.8417	0.2149	0.0096	0.4882	0.3243	0.4787	45.9951	44.8954	1.0997	0.1543
33	mimmi_ch	mimmi_ch_FL_0_1540	0.2245	0.0607	18.7042	0.8368	0.2146	0.0099	0.4882	0.3243	0.4784	45.9951	44.8604	1.1347	0.154
34	mimmi_ch	mimmi_ch_FL_0_1537	0.2245	0.0607	18.7042	0.8318	0.2143	0.0102	0.4882	0.3243	0.4782	45.9951	44.8254	1.1697	0.1537
35	mimmi_ch	mimmi_ch_FL_0_1534	0.2245	0.0607	18.7042	0.8269	0.214	0.0105	0.4882	0.3243	0.4779	45.9951	44.7903	1.2048	0.1534
36	mimmi_ch	mimmi_ch_FL_0_1531	0.2245	0.0607	18.7042	0.8219	0.2137	0.0108	0.4882	0.3243	0.4776	45.9951	44.7551	1.24	0.1531
37	mimmi_ch	mimmi_ch_FL_0_1528	0.2245	0.0607	18.7042	0.817	0.2134	0.0111	0.4882	0.3243	0.4773	45.9951	44.7199	1.2752	0.1528
38	mimmi_ch	mimmi_ch_FL_0_1525	0.2245	0.0607	18.7042	0.8121	0.2131	0.0114	0.4882	0.3243	0.477	45.9951	44.6847	1.3104	0.1525
39	mimmi_ch	mimmi_ch_FL_0_1522	0.2245	0.0607	18.7042	0.8071	0.2128	0.0117	0.4882	0.3243	0.4767	45.9951	44.6494	1.3457	0.1522
40	mimmi_ch	mimmi_ch_FL_0_1519	0.2245	0.0607	18.7042	0.8022	0.2125	0.012	0.4882	0.3243	0.4764	45.9951	44.6141	1.381	0.1519
41	mimmi_ch	mimmi_ch_FL_0_1516	0.2245	0.0607	18.7042	0.7972	0.2122	0.0123	0.4882	0.3243	0.4761	45.9951	44.5787	1.4164	0.1516
