stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
1	lilli_lisa_ch	lilli_lisa_ch_pause_0.005	0.55	0.005	0.0091	0.005	0.545	1.7782	1.2282	1.2332
2	lilli_lisa_ch	lilli_lisa_ch_pause_0.010	0.55	0.005	0.0092	0.01	0.54	1.7782	1.2282	1.2382
3	lilli_lisa_ch	lilli_lisa_ch_pause_0.015	0.55	0.005	0.0093	0.015	0.535	1.7782	1.2282	1.2432
4	lilli_lisa_ch	lilli_lisa_ch_pause_0.020	0.55	0.005	0.0093	0.02	0.53	1.7782	1.2282	1.2482
5	lilli_lisa_ch	lilli_lisa_ch_pause_0.025	0.55	0.005	0.0094	0.025	0.525	1.7782	1.2282	1.2532
6	lilli_lisa_ch	lilli_lisa_ch_pause_0.030	0.55	0.005	0.0095	0.03	0.52	1.7782	1.2282	1.2582
7	lilli_lisa_ch	lilli_lisa_ch_pause_0.035	0.55	0.005	0.0096	0.035	0.515	1.7782	1.2282	1.2632
8	lilli_lisa_ch	lilli_lisa_ch_pause_0.040	0.55	0.005	0.0097	0.04	0.51	1.7782	1.2282	1.2682
9	lilli_lisa_ch	lilli_lisa_ch_pause_0.045	0.55	0.005	0.0098	0.045	0.505	1.7782	1.2282	1.2732
10	lilli_lisa_ch	lilli_lisa_ch_pause_0.050	0.55	0.005	0.0099	0.05	0.5	1.7782	1.2282	1.2782
11	lilli_lisa_ch	lilli_lisa_ch_pause_0.055	0.55	0.005	0.01	0.055	0.495	1.7782	1.2282	1.2832
12	lilli_lisa_ch	lilli_lisa_ch_pause_0.060	0.55	0.005	0.0101	0.06	0.49	1.7782	1.2282	1.2882
13	lilli_lisa_ch	lilli_lisa_ch_pause_0.065	0.55	0.005	0.0102	0.065	0.485	1.7782	1.2282	1.2932
14	lilli_lisa_ch	lilli_lisa_ch_pause_0.070	0.55	0.005	0.0103	0.07	0.48	1.7782	1.2282	1.2982
15	lilli_lisa_ch	lilli_lisa_ch_pause_0.075	0.55	0.005	0.0104	0.075	0.475	1.7782	1.2282	1.3032
16	lilli_lisa_ch	lilli_lisa_ch_pause_0.080	0.55	0.005	0.0105	0.08	0.47	1.7782	1.2282	1.3082
17	lilli_lisa_ch	lilli_lisa_ch_pause_0.085	0.55	0.005	0.0106	0.085	0.465	1.7782	1.2282	1.3132
18	lilli_lisa_ch	lilli_lisa_ch_pause_0.090	0.55	0.005	0.0108	0.09	0.46	1.7782	1.2282	1.3182
19	lilli_lisa_ch	lilli_lisa_ch_pause_0.095	0.55	0.005	0.0109	0.095	0.455	1.7782	1.2282	1.3232
