stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise
1	nelli_ch	nelli_ch_rise_13_107	13.112	161.369	344.153	13.107	344.054	0.005
2	nelli_ch	nelli_ch_rise_13_102	13.112	161.369	344.153	13.102	343.955	0.01
3	nelli_ch	nelli_ch_rise_13_097	13.112	161.369	344.153	13.097	343.855	0.015
4	nelli_ch	nelli_ch_rise_13_092	13.112	161.369	344.153	13.092	343.756	0.02
5	nelli_ch	nelli_ch_rise_13_087	13.112	161.369	344.153	13.087	343.657	0.025
6	nelli_ch	nelli_ch_rise_13_082	13.112	161.369	344.153	13.082	343.558	0.03
7	nelli_ch	nelli_ch_rise_13_077	13.112	161.369	344.153	13.077	343.458	0.035
8	nelli_ch	nelli_ch_rise_13_072	13.112	161.369	344.153	13.072	343.359	0.04
9	nelli_ch	nelli_ch_rise_13_067	13.112	161.369	344.153	13.067	343.26	0.045
10	nelli_ch	nelli_ch_rise_13_062	13.112	161.369	344.153	13.062	343.161	0.05
11	nelli_ch	nelli_ch_rise_13_057	13.112	161.369	344.153	13.057	343.062	0.055
12	nelli_ch	nelli_ch_rise_13_052	13.112	161.369	344.153	13.052	342.963	0.06
13	nelli_ch	nelli_ch_rise_13_047	13.112	161.369	344.153	13.047	342.864	0.065
14	nelli_ch	nelli_ch_rise_13_042	13.112	161.369	344.153	13.042	342.765	0.07
15	nelli_ch	nelli_ch_rise_13_037	13.112	161.369	344.153	13.037	342.666	0.075
16	nelli_ch	nelli_ch_rise_13_032	13.112	161.369	344.153	13.032	342.567	0.08
17	nelli_ch	nelli_ch_rise_13_027	13.112	161.369	344.153	13.027	342.468	0.085
18	nelli_ch	nelli_ch_rise_13_022	13.112	161.369	344.153	13.022	342.369	0.09
19	nelli_ch	nelli_ch_rise_13_017	13.112	161.369	344.153	13.017	342.27	0.095
20	nelli_ch	nelli_ch_rise_13_012	13.112	161.369	344.153	13.012	342.171	0.1
21	nelli_ch	nelli_ch_rise_13_007	13.112	161.369	344.153	13.007	342.073	0.105
22	nelli_ch	nelli_ch_rise_13_002	13.112	161.369	344.153	13.002	341.974	0.11
23	nelli_ch	nelli_ch_rise_12_997	13.112	161.369	344.153	12.997	341.875	0.115
24	nelli_ch	nelli_ch_rise_12_992	13.112	161.369	344.153	12.992	341.776	0.12
25	nelli_ch	nelli_ch_rise_12_987	13.112	161.369	344.153	12.987	341.678	0.125
26	nelli_ch	nelli_ch_rise_12_982	13.112	161.369	344.153	12.982	341.579	0.13
27	nelli_ch	nelli_ch_rise_12_977	13.112	161.369	344.153	12.977	341.48	0.135
28	nelli_ch	nelli_ch_rise_12_972	13.112	161.369	344.153	12.972	341.382	0.14
29	nelli_ch	nelli_ch_rise_12_967	13.112	161.369	344.153	12.967	341.283	0.145
30	nelli_ch	nelli_ch_rise_12_962	13.112	161.369	344.153	12.962	341.185	0.15
31	nelli_ch	nelli_ch_rise_12_957	13.112	161.369	344.153	12.957	341.086	0.155
32	nelli_ch	nelli_ch_rise_12_952	13.112	161.369	344.153	12.952	340.987	0.16
33	nelli_ch	nelli_ch_rise_12_947	13.112	161.369	344.153	12.947	340.889	0.165
34	nelli_ch	nelli_ch_rise_12_942	13.112	161.369	344.153	12.942	340.791	0.17
35	nelli_ch	nelli_ch_rise_12_937	13.112	161.369	344.153	12.937	340.692	0.175
36	nelli_ch	nelli_ch_rise_12_932	13.112	161.369	344.153	12.932	340.594	0.18
37	nelli_ch	nelli_ch_rise_12_927	13.112	161.369	344.153	12.927	340.495	0.185
38	nelli_ch	nelli_ch_rise_12_922	13.112	161.369	344.153	12.922	340.397	0.19
39	nelli_ch	nelli_ch_rise_12_917	13.112	161.369	344.153	12.917	340.299	0.195
40	nelli_ch	nelli_ch_rise_12_912	13.112	161.369	344.153	12.912	340.201	0.2
41	nelli_ch	nelli_ch_rise_12_907	13.112	161.369	344.153	12.907	340.102	0.205
42	nelli_ch	nelli_ch_rise_12_902	13.112	161.369	344.153	12.902	340.004	0.21
43	nelli_ch	nelli_ch_rise_12_897	13.112	161.369	344.153	12.897	339.906	0.215
44	nelli_ch	nelli_ch_rise_12_892	13.112	161.369	344.153	12.892	339.808	0.22
45	nelli_ch	nelli_ch_rise_12_887	13.112	161.369	344.153	12.887	339.71	0.225
46	nelli_ch	nelli_ch_rise_12_882	13.112	161.369	344.153	12.882	339.612	0.23
47	nelli_ch	nelli_ch_rise_12_877	13.112	161.369	344.153	12.877	339.513	0.235
48	nelli_ch	nelli_ch_rise_12_872	13.112	161.369	344.153	12.872	339.415	0.24
49	nelli_ch	nelli_ch_rise_12_867	13.112	161.369	344.153	12.867	339.317	0.245
50	nelli_ch	nelli_ch_rise_12_862	13.112	161.369	344.153	12.862	339.219	0.25
51	nelli_ch	nelli_ch_rise_12_857	13.112	161.369	344.153	12.857	339.121	0.255
52	nelli_ch	nelli_ch_rise_12_852	13.112	161.369	344.153	12.852	339.024	0.26
53	nelli_ch	nelli_ch_rise_12_847	13.112	161.369	344.153	12.847	338.926	0.265
54	nelli_ch	nelli_ch_rise_12_842	13.112	161.369	344.153	12.842	338.828	0.27
55	nelli_ch	nelli_ch_rise_12_837	13.112	161.369	344.153	12.837	338.73	0.275
56	nelli_ch	nelli_ch_rise_12_832	13.112	161.369	344.153	12.832	338.632	0.28
57	nelli_ch	nelli_ch_rise_12_827	13.112	161.369	344.153	12.827	338.534	0.285
58	nelli_ch	nelli_ch_rise_12_822	13.112	161.369	344.153	12.822	338.437	0.29
59	nelli_ch	nelli_ch_rise_12_817	13.112	161.369	344.153	12.817	338.339	0.295
60	nelli_ch	nelli_ch_rise_12_812	13.112	161.369	344.153	12.812	338.241	0.3
61	nelli_ch	nelli_ch_rise_12_807	13.112	161.369	344.153	12.807	338.143	0.305
62	nelli_ch	nelli_ch_rise_12_802	13.112	161.369	344.153	12.802	338.046	0.31
63	nelli_ch	nelli_ch_rise_12_797	13.112	161.369	344.153	12.797	337.948	0.315
64	nelli_ch	nelli_ch_rise_12_792	13.112	161.369	344.153	12.792	337.851	0.32
65	nelli_ch	nelli_ch_rise_12_787	13.112	161.369	344.153	12.787	337.753	0.325
66	nelli_ch	nelli_ch_rise_12_782	13.112	161.369	344.153	12.782	337.656	0.33
67	nelli_ch	nelli_ch_rise_12_777	13.112	161.369	344.153	12.777	337.558	0.335
68	nelli_ch	nelli_ch_rise_12_772	13.112	161.369	344.153	12.772	337.461	0.34
69	nelli_ch	nelli_ch_rise_12_767	13.112	161.369	344.153	12.767	337.363	0.345
70	nelli_ch	nelli_ch_rise_12_762	13.112	161.369	344.153	12.762	337.266	0.35
71	nelli_ch	nelli_ch_rise_12_757	13.112	161.369	344.153	12.757	337.168	0.355
72	nelli_ch	nelli_ch_rise_12_752	13.112	161.369	344.153	12.752	337.071	0.36
73	nelli_ch	nelli_ch_rise_12_747	13.112	161.369	344.153	12.747	336.974	0.365
74	nelli_ch	nelli_ch_rise_12_742	13.112	161.369	344.153	12.742	336.876	0.37
75	nelli_ch	nelli_ch_rise_12_737	13.112	161.369	344.153	12.737	336.779	0.375
76	nelli_ch	nelli_ch_rise_12_732	13.112	161.369	344.153	12.732	336.682	0.38
77	nelli_ch	nelli_ch_rise_12_727	13.112	161.369	344.153	12.727	336.585	0.385
78	nelli_ch	nelli_ch_rise_12_722	13.112	161.369	344.153	12.722	336.487	0.39
79	nelli_ch	nelli_ch_rise_12_717	13.112	161.369	344.153	12.717	336.39	0.395
80	nelli_ch	nelli_ch_rise_12_712	13.112	161.369	344.153	12.712	336.293	0.4
81	nelli_ch	nelli_ch_rise_12_707	13.112	161.369	344.153	12.707	336.196	0.405
82	nelli_ch	nelli_ch_rise_12_702	13.112	161.369	344.153	12.702	336.099	0.41
83	nelli_ch	nelli_ch_rise_12_697	13.112	161.369	344.153	12.697	336.002	0.415
84	nelli_ch	nelli_ch_rise_12_692	13.112	161.369	344.153	12.692	335.905	0.42
85	nelli_ch	nelli_ch_rise_12_687	13.112	161.369	344.153	12.687	335.808	0.425
86	nelli_ch	nelli_ch_rise_12_682	13.112	161.369	344.153	12.682	335.711	0.43
87	nelli_ch	nelli_ch_rise_12_677	13.112	161.369	344.153	12.677	335.614	0.435
88	nelli_ch	nelli_ch_rise_12_672	13.112	161.369	344.153	12.672	335.517	0.44
89	nelli_ch	nelli_ch_rise_12_667	13.112	161.369	344.153	12.667	335.42	0.445
90	nelli_ch	nelli_ch_rise_12_662	13.112	161.369	344.153	12.662	335.323	0.45
91	nelli_ch	nelli_ch_rise_12_657	13.112	161.369	344.153	12.657	335.226	0.455
92	nelli_ch	nelli_ch_rise_12_652	13.112	161.369	344.153	12.652	335.13	0.46
93	nelli_ch	nelli_ch_rise_12_647	13.112	161.369	344.153	12.647	335.033	0.465
94	nelli_ch	nelli_ch_rise_12_642	13.112	161.369	344.153	12.642	334.936	0.47
95	nelli_ch	nelli_ch_rise_12_637	13.112	161.369	344.153	12.637	334.839	0.475
96	nelli_ch	nelli_ch_rise_12_632	13.112	161.369	344.153	12.632	334.743	0.48
97	nelli_ch	nelli_ch_rise_12_627	13.112	161.369	344.153	12.627	334.646	0.485
98	nelli_ch	nelli_ch_rise_12_622	13.112	161.369	344.153	12.622	334.549	0.49
99	nelli_ch	nelli_ch_rise_12_617	13.112	161.369	344.153	12.617	334.453	0.495
100	nelli_ch	nelli_ch_rise_12_612	13.112	161.369	344.153	12.612	334.356	0.5
101	nelli_ch	nelli_ch_rise_12_607	13.112	161.369	344.153	12.607	334.26	0.505
102	nelli_ch	nelli_ch_rise_12_602	13.112	161.369	344.153	12.602	334.163	0.51
103	nelli_ch	nelli_ch_rise_12_597	13.112	161.369	344.153	12.597	334.067	0.515
104	nelli_ch	nelli_ch_rise_12_592	13.112	161.369	344.153	12.592	333.97	0.52
105	nelli_ch	nelli_ch_rise_12_587	13.112	161.369	344.153	12.587	333.874	0.525
106	nelli_ch	nelli_ch_rise_12_582	13.112	161.369	344.153	12.582	333.777	0.53
107	nelli_ch	nelli_ch_rise_12_577	13.112	161.369	344.153	12.577	333.681	0.535
108	nelli_ch	nelli_ch_rise_12_572	13.112	161.369	344.153	12.572	333.584	0.54
109	nelli_ch	nelli_ch_rise_12_567	13.112	161.369	344.153	12.567	333.488	0.545
110	nelli_ch	nelli_ch_rise_12_562	13.112	161.369	344.153	12.562	333.392	0.55
111	nelli_ch	nelli_ch_rise_12_557	13.112	161.369	344.153	12.557	333.296	0.555
112	nelli_ch	nelli_ch_rise_12_552	13.112	161.369	344.153	12.552	333.199	0.56
113	nelli_ch	nelli_ch_rise_12_547	13.112	161.369	344.153	12.547	333.103	0.565
114	nelli_ch	nelli_ch_rise_12_542	13.112	161.369	344.153	12.542	333.007	0.57
115	nelli_ch	nelli_ch_rise_12_537	13.112	161.369	344.153	12.537	332.911	0.575
116	nelli_ch	nelli_ch_rise_12_532	13.112	161.369	344.153	12.532	332.815	0.58
117	nelli_ch	nelli_ch_rise_12_527	13.112	161.369	344.153	12.527	332.719	0.585
118	nelli_ch	nelli_ch_rise_12_522	13.112	161.369	344.153	12.522	332.622	0.59
119	nelli_ch	nelli_ch_rise_12_517	13.112	161.369	344.153	12.517	332.526	0.595
120	nelli_ch	nelli_ch_rise_12_512	13.112	161.369	344.153	12.512	332.43	0.6
121	nelli_ch	nelli_ch_rise_12_507	13.112	161.369	344.153	12.507	332.334	0.605
122	nelli_ch	nelli_ch_rise_12_502	13.112	161.369	344.153	12.502	332.238	0.61
123	nelli_ch	nelli_ch_rise_12_497	13.112	161.369	344.153	12.497	332.142	0.615
