experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,1,17:15:29,17:15:33,00:00:04,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,right,True,0.1639,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,2,17:15:29,17:15:38,00:00:08,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1564,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,3,17:15:29,17:15:42,00:00:12,audio/audio-FL/mimmi_ch_FL_0_1489.wav,audio/audio-FL/mimmi_ch_FL_0_1489.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,False,0.1489,0.0075,0,up
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,4,17:15:29,17:15:46,00:00:17,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1564,0.0075,1,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,5,17:15:29,17:15:50,00:00:21,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,False,0.1564,0.0075,1,up
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,6,17:15:29,17:15:55,00:00:26,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,1,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,7,17:15:29,17:15:59,00:00:30,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,False,0.1639,0.0075,1,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,8,17:15:29,17:16:04,00:00:34,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,1,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,9,17:15:29,17:16:08,00:00:39,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,True,0.1564,0.0075,2,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,10,17:15:29,17:16:12,00:00:43,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,False,0.1564,0.0075,2,up
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,11,17:15:29,17:16:18,00:00:48,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1639,0.0075,3,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,12,17:15:29,17:16:22,00:00:53,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,3,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,13,17:15:29,17:16:27,00:00:57,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1564,0.0075,4,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,14,17:15:29,17:16:31,00:01:02,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,False,0.1564,0.0075,4,up
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,15,17:15:29,17:16:35,00:01:06,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,5,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,16,17:15:29,17:16:44,00:01:14,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,False,0.1639,0.0075,5,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,17,17:15:29,17:16:48,00:01:19,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,False,0.1639,0.0075,5,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,18,17:15:29,17:16:55,00:01:26,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1639,0.0075,5,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,19,17:15:29,17:17:00,00:01:31,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,False,0.1564,0.0075,5,up
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,20,17:15:29,17:17:05,00:01:36,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1639,0.0075,6,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,21,17:15:29,17:17:11,00:01:41,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,False,0.1639,0.0075,6,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,22,17:15:29,17:17:16,00:01:46,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,6,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,23,17:15:29,17:17:20,00:01:51,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,False,0.1564,0.0075,7,up
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,24,17:15:29,17:17:26,00:01:57,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1639,0.0075,8,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,25,17:15:29,17:17:30,00:02:01,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,False,0.1639,0.0075,8,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,26,17:15:29,17:17:34,00:02:05,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,False,0.1639,0.0075,8,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,27,17:15:29,17:17:38,00:02:09,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1639,0.0075,8,down
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,28,17:15:29,17:17:43,00:02:13,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,True,0.1564,0.0075,8,none
jnd_experiment,subject_ID,2023-05-24 17:14,FL,trial,29,17:15:29,17:17:47,00:02:18,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,False,0.1564,0.0075,8,up
