experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,1,17:38:58,17:39:05,00:00:07,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.55,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,2,17:38:58,17:39:14,00:00:15,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.525,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,3,17:38:58,17:39:21,00:00:23,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,right,True,0.5,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,4,17:38:58,17:39:29,00:00:31,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.475,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,5,17:38:58,17:39:37,00:00:38,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,right,True,0.45,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,6,17:38:58,17:39:44,00:00:46,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_425.wav,right,True,0.425,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,7,17:38:58,17:39:53,00:00:54,audio/audio-pause/lilli_lisa_ch_pause_0_400.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.4,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,8,17:38:58,17:40:00,00:01:02,audio/audio-pause/lilli_lisa_ch_pause_0_375.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.375,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,9,17:38:58,17:40:07,00:01:09,audio/audio-pause/lilli_lisa_ch_pause_0_350.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.35,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,10,17:38:58,17:40:15,00:01:17,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_325.wav,audio/audio-pause/lilli_lisa_ch_pause_0_325.wav,left,True,0.325,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:38,pause,trial,11,17:38:58,17:40:23,00:01:25,audio/audio-pause/lilli_lisa_ch_pause_0_300.wav,audio/audio-pause/lilli_lisa_ch_pause_0_300.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.3,0.015,0,down
