experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,1,17:30:13,17:30:17,00:00:04,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_13_112.wav,audio/audio-pitch/nelli_ch_rise_13_112.wav,left,True,13.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,2,17:30:13,17:30:22,00:00:08,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_12_612.wav,audio/audio-pitch/nelli_ch_rise_12_612.wav,left,True,12.612,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,3,17:30:13,17:30:26,00:00:13,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_12_112.wav,right,True,12.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,4,17:30:13,17:30:30,00:00:17,audio/audio-pitch/nelli_ch_rise_11_612.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,left,True,11.612,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,5,17:30:13,17:30:35,00:00:21,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_11_112.wav,audio/audio-pitch/nelli_ch_rise_11_112.wav,left,True,11.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,6,17:30:13,17:30:39,00:00:25,audio/audio-pitch/nelli_ch_rise_10_612.wav,audio/audio-pitch/nelli_ch_rise_10_612.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,right,True,10.612,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,7,17:30:13,17:30:43,00:00:30,audio/audio-pitch/nelli_ch_rise_10_112.wav,audio/audio-pitch/nelli_ch_rise_10_112.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,right,True,10.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,8,17:30:13,17:30:50,00:00:37,audio/audio-pitch/nelli_ch_rise_9_612.wav,audio/audio-pitch/nelli_ch_rise_9_612.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,right,True,9.612,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,9,17:30:13,17:30:55,00:00:41,audio/audio-pitch/nelli_ch_rise_9_112.wav,audio/audio-pitch/nelli_ch_rise_9_112.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,left,False,9.112,0.5,0,up
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,10,17:30:13,17:30:59,00:00:45,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_9_612.wav,audio/audio-pitch/nelli_ch_rise_9_612.wav,left,True,9.612,0.5,1,none
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,trial,11,17:30:13,17:31:03,00:00:49,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_9_612.wav,audio/audio-pitch/nelli_ch_rise_9_612.wav,left,True,9.612,0.5,1,down
