stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
1	mimmi_03	mimmi_03_FL_0_002	0.247	0.048	19.379	0.195	0.05	0.197	0.448	0.249	0.251	55.164	20.021	35.143	0.002
2	mimmi_03	mimmi_03_FL_0_003	0.247	0.048	19.379	0.196	0.051	0.196	0.448	0.249	0.252	55.164	20.335	34.83	0.003
3	mimmi_03	mimmi_03_FL_0_004	0.247	0.048	19.379	0.197	0.052	0.195	0.448	0.249	0.253	55.164	20.646	34.518	0.004
4	mimmi_03	mimmi_03_FL_0_005	0.247	0.048	19.379	0.198	0.053	0.194	0.448	0.249	0.254	55.164	20.955	34.209	0.005
5	mimmi_03	mimmi_03_FL_0_006	0.247	0.048	19.379	0.199	0.054	0.193	0.448	0.249	0.255	55.164	21.262	33.902	0.006
6	mimmi_03	mimmi_03_FL_0_007	0.247	0.048	19.379	0.199	0.055	0.192	0.448	0.249	0.256	55.164	21.566	33.598	0.007
7	mimmi_03	mimmi_03_FL_0_008	0.247	0.048	19.379	0.2	0.056	0.191	0.448	0.249	0.257	55.164	21.868	33.296	0.008
8	mimmi_03	mimmi_03_FL_0_009	0.247	0.048	19.379	0.201	0.057	0.19	0.448	0.249	0.258	55.164	22.168	32.997	0.009
9	mimmi_03	mimmi_03_FL_0_010	0.247	0.048	19.379	0.202	0.058	0.189	0.448	0.249	0.259	55.164	22.465	32.699	0.01
10	mimmi_03	mimmi_03_FL_0_011	0.247	0.048	19.379	0.203	0.059	0.188	0.448	0.249	0.26	55.164	22.76	32.404	0.011
11	mimmi_03	mimmi_03_FL_0_012	0.247	0.048	19.379	0.204	0.06	0.187	0.448	0.249	0.261	55.164	23.053	32.111	0.012
12	mimmi_03	mimmi_03_FL_0_013	0.247	0.048	19.379	0.204	0.061	0.186	0.448	0.249	0.262	55.164	23.343	31.821	0.013
13	mimmi_03	mimmi_03_FL_0_014	0.247	0.048	19.379	0.205	0.062	0.185	0.448	0.249	0.263	55.164	23.632	31.532	0.014
14	mimmi_03	mimmi_03_FL_0_015	0.247	0.048	19.379	0.206	0.063	0.184	0.448	0.249	0.264	55.164	23.918	31.246	0.015
15	mimmi_03	mimmi_03_FL_0_016	0.247	0.048	19.379	0.207	0.064	0.183	0.448	0.249	0.265	55.164	24.202	30.962	0.016
16	mimmi_03	mimmi_03_FL_0_017	0.247	0.048	19.379	0.208	0.065	0.182	0.448	0.249	0.266	55.164	24.484	30.68	0.017
17	mimmi_03	mimmi_03_FL_0_018	0.247	0.048	19.379	0.209	0.066	0.181	0.448	0.249	0.267	55.164	24.764	30.4	0.018
18	mimmi_03	mimmi_03_FL_0_019	0.247	0.048	19.379	0.21	0.067	0.18	0.448	0.249	0.268	55.164	25.042	30.122	0.019
19	mimmi_03	mimmi_03_FL_0_020	0.247	0.048	19.379	0.211	0.068	0.179	0.448	0.249	0.269	55.164	25.318	29.846	0.02
20	mimmi_03	mimmi_03_FL_0_021	0.247	0.048	19.379	0.212	0.069	0.178	0.448	0.249	0.27	55.164	25.592	29.572	0.021
21	mimmi_03	mimmi_03_FL_0_022	0.247	0.048	19.379	0.213	0.07	0.177	0.448	0.249	0.271	55.164	25.863	29.301	0.022
22	mimmi_03	mimmi_03_FL_0_023	0.247	0.048	19.379	0.214	0.071	0.176	0.448	0.249	0.272	55.164	26.133	29.031	0.023
23	mimmi_03	mimmi_03_FL_0_024	0.247	0.048	19.379	0.214	0.072	0.175	0.448	0.249	0.273	55.164	26.401	28.763	0.024
24	mimmi_03	mimmi_03_FL_0_025	0.247	0.048	19.379	0.215	0.073	0.174	0.448	0.249	0.274	55.164	26.667	28.497	0.025
25	mimmi_03	mimmi_03_FL_0_026	0.247	0.048	19.379	0.216	0.074	0.173	0.448	0.249	0.275	55.164	26.931	28.233	0.026
26	mimmi_03	mimmi_03_FL_0_027	0.247	0.048	19.379	0.217	0.075	0.172	0.448	0.249	0.276	55.164	27.193	27.971	0.027
27	mimmi_03	mimmi_03_FL_0_028	0.247	0.048	19.379	0.218	0.076	0.171	0.448	0.249	0.277	55.164	27.453	27.711	0.028
28	mimmi_03	mimmi_03_FL_0_029	0.247	0.048	19.379	0.219	0.077	0.17	0.448	0.249	0.278	55.164	27.712	27.452	0.029
29	mimmi_03	mimmi_03_FL_0_030	0.247	0.048	19.379	0.22	0.078	0.169	0.448	0.249	0.279	55.164	27.968	27.196	0.03
30	mimmi_03	mimmi_03_FL_0_031	0.247	0.048	19.379	0.221	0.079	0.168	0.448	0.249	0.28	55.164	28.223	26.941	0.031
31	mimmi_03	mimmi_03_FL_0_032	0.247	0.048	19.379	0.222	0.08	0.167	0.448	0.249	0.281	55.164	28.476	26.688	0.032
32	mimmi_03	mimmi_03_FL_0_033	0.247	0.048	19.379	0.223	0.081	0.166	0.448	0.249	0.282	55.164	28.727	26.437	0.033
33	mimmi_03	mimmi_03_FL_0_034	0.247	0.048	19.379	0.224	0.082	0.165	0.448	0.249	0.283	55.164	28.976	26.188	0.034
34	mimmi_03	mimmi_03_FL_0_035	0.247	0.048	19.379	0.225	0.083	0.164	0.448	0.249	0.284	55.164	29.224	25.94	0.035
35	mimmi_03	mimmi_03_FL_0_036	0.247	0.048	19.379	0.227	0.084	0.163	0.448	0.249	0.285	55.164	29.47	25.694	0.036
36	mimmi_03	mimmi_03_FL_0_037	0.247	0.048	19.379	0.228	0.085	0.162	0.448	0.249	0.286	55.164	29.714	25.45	0.037
37	mimmi_03	mimmi_03_FL_0_038	0.247	0.048	19.379	0.229	0.086	0.161	0.448	0.249	0.287	55.164	29.957	25.207	0.038
38	mimmi_03	mimmi_03_FL_0_039	0.247	0.048	19.379	0.23	0.087	0.16	0.448	0.249	0.288	55.164	30.198	24.966	0.039
39	mimmi_03	mimmi_03_FL_0_040	0.247	0.048	19.379	0.231	0.088	0.159	0.448	0.249	0.289	55.164	30.437	24.727	0.04
40	mimmi_03	mimmi_03_FL_0_041	0.247	0.048	19.379	0.232	0.089	0.158	0.448	0.249	0.29	55.164	30.675	24.489	0.041
41	mimmi_03	mimmi_03_FL_0_042	0.247	0.048	19.379	0.233	0.09	0.157	0.448	0.249	0.291	55.164	30.911	24.253	0.042
42	mimmi_03	mimmi_03_FL_0_043	0.247	0.048	19.379	0.234	0.091	0.156	0.448	0.249	0.292	55.164	31.145	24.019	0.043
43	mimmi_03	mimmi_03_FL_0_044	0.247	0.048	19.379	0.235	0.092	0.155	0.448	0.249	0.293	55.164	31.378	23.786	0.044
44	mimmi_03	mimmi_03_FL_0_045	0.247	0.048	19.379	0.237	0.093	0.154	0.448	0.249	0.294	55.164	31.609	23.555	0.045
45	mimmi_03	mimmi_03_FL_0_046	0.247	0.048	19.379	0.238	0.094	0.153	0.448	0.249	0.295	55.164	31.839	23.325	0.046
46	mimmi_03	mimmi_03_FL_0_047	0.247	0.048	19.379	0.239	0.095	0.152	0.448	0.249	0.296	55.164	32.067	23.097	0.047
47	mimmi_03	mimmi_03_FL_0_048	0.247	0.048	19.379	0.24	0.096	0.151	0.448	0.249	0.297	55.164	32.293	22.871	0.048
48	mimmi_03	mimmi_03_FL_0_049	0.247	0.048	19.379	0.241	0.097	0.15	0.448	0.249	0.298	55.164	32.519	22.645	0.049
49	mimmi_03	mimmi_03_FL_0_050	0.247	0.048	19.379	0.242	0.098	0.149	0.448	0.249	0.299	55.164	32.742	22.422	0.05
50	mimmi_03	mimmi_03_FL_0_051	0.247	0.048	19.379	0.244	0.099	0.148	0.448	0.249	0.3	55.164	32.964	22.2	0.051
51	mimmi_03	mimmi_03_FL_0_051	0.247	0.048	19.379	0.245	0.1	0.147	0.448	0.249	0.301	55.164	33.185	21.979	0.051
52	mimmi_03	mimmi_03_FL_0_052	0.247	0.048	19.379	0.246	0.101	0.146	0.448	0.249	0.302	55.164	33.404	21.76	0.052
53	mimmi_03	mimmi_03_FL_0_053	0.247	0.048	19.379	0.247	0.102	0.145	0.448	0.249	0.303	55.164	33.622	21.542	0.053
54	mimmi_03	mimmi_03_FL_0_054	0.247	0.048	19.379	0.249	0.103	0.144	0.448	0.249	0.304	55.164	33.838	21.326	0.054
55	mimmi_03	mimmi_03_FL_0_055	0.247	0.048	19.379	0.25	0.104	0.143	0.448	0.249	0.305	55.164	34.053	21.111	0.055
56	mimmi_03	mimmi_03_FL_0_056	0.247	0.048	19.379	0.251	0.105	0.142	0.448	0.249	0.306	55.164	34.267	20.897	0.056
57	mimmi_03	mimmi_03_FL_0_057	0.247	0.048	19.379	0.253	0.106	0.141	0.448	0.249	0.307	55.164	34.479	20.685	0.057
58	mimmi_03	mimmi_03_FL_0_058	0.247	0.048	19.379	0.254	0.107	0.14	0.448	0.249	0.308	55.164	34.69	20.474	0.058
59	mimmi_03	mimmi_03_FL_0_059	0.247	0.048	19.379	0.255	0.108	0.14	0.448	0.249	0.309	55.164	34.899	20.265	0.059
60	mimmi_03	mimmi_03_FL_0_060	0.247	0.048	19.379	0.257	0.109	0.139	0.448	0.249	0.31	55.164	35.108	20.056	0.06
61	mimmi_03	mimmi_03_FL_0_061	0.247	0.048	19.379	0.258	0.11	0.138	0.448	0.249	0.311	55.164	35.314	19.85	0.061
62	mimmi_03	mimmi_03_FL_0_062	0.247	0.048	19.379	0.259	0.111	0.137	0.448	0.249	0.312	55.164	35.52	19.644	0.062
63	mimmi_03	mimmi_03_FL_0_063	0.247	0.048	19.379	0.261	0.112	0.136	0.448	0.249	0.313	55.164	35.724	19.44	0.063
64	mimmi_03	mimmi_03_FL_0_064	0.247	0.048	19.379	0.262	0.113	0.135	0.448	0.249	0.314	55.164	35.927	19.237	0.064
65	mimmi_03	mimmi_03_FL_0_065	0.247	0.048	19.379	0.264	0.114	0.134	0.448	0.249	0.315	55.164	36.129	19.035	0.065
66	mimmi_03	mimmi_03_FL_0_066	0.247	0.048	19.379	0.265	0.115	0.133	0.448	0.249	0.316	55.164	36.329	18.835	0.066
67	mimmi_03	mimmi_03_FL_0_067	0.247	0.048	19.379	0.267	0.116	0.132	0.448	0.249	0.317	55.164	36.528	18.636	0.067
68	mimmi_03	mimmi_03_FL_0_068	0.247	0.048	19.379	0.268	0.117	0.131	0.448	0.249	0.318	55.164	36.726	18.438	0.068
69	mimmi_03	mimmi_03_FL_0_069	0.247	0.048	19.379	0.269	0.118	0.13	0.448	0.249	0.319	55.164	36.923	18.241	0.069
70	mimmi_03	mimmi_03_FL_0_070	0.247	0.048	19.379	0.271	0.119	0.129	0.448	0.249	0.32	55.164	37.118	18.046	0.07
71	mimmi_03	mimmi_03_FL_0_071	0.247	0.048	19.379	0.273	0.12	0.128	0.448	0.249	0.321	55.164	37.312	17.852	0.071
72	mimmi_03	mimmi_03_FL_0_072	0.247	0.048	19.379	0.274	0.121	0.127	0.448	0.249	0.322	55.164	37.505	17.659	0.072
73	mimmi_03	mimmi_03_FL_0_073	0.247	0.048	19.379	0.276	0.122	0.126	0.448	0.249	0.323	55.164	37.697	17.467	0.073
