stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
1	lilli_10	lilli_10_FL_0_002	0.244	0.043	19.9	0.177	0.045	0.199	0.418	0.217	0.219	58.425	20.636	37.789	0.002
2	lilli_10	lilli_10_FL_0_003	0.244	0.043	19.9	0.178	0.046	0.198	0.418	0.217	0.22	58.425	20.994	37.432	0.003
3	lilli_10	lilli_10_FL_0_004	0.244	0.043	19.9	0.178	0.047	0.197	0.418	0.217	0.221	58.425	21.348	37.078	0.004
4	lilli_10	lilli_10_FL_0_005	0.244	0.043	19.9	0.179	0.048	0.196	0.418	0.217	0.222	58.425	21.698	36.727	0.005
5	lilli_10	lilli_10_FL_0_006	0.244	0.043	19.9	0.18	0.049	0.195	0.418	0.217	0.223	58.425	22.046	36.379	0.006
6	lilli_10	lilli_10_FL_0_007	0.244	0.043	19.9	0.18	0.05	0.194	0.418	0.217	0.224	58.425	22.391	36.035	0.007
7	lilli_10	lilli_10_FL_0_008	0.244	0.043	19.9	0.181	0.051	0.193	0.418	0.217	0.225	58.425	22.732	35.693	0.008
8	lilli_10	lilli_10_FL_0_009	0.244	0.043	19.9	0.182	0.052	0.192	0.418	0.217	0.226	58.425	23.071	35.354	0.009
9	lilli_10	lilli_10_FL_0_010	0.244	0.043	19.9	0.183	0.053	0.191	0.418	0.217	0.227	58.425	23.407	35.019	0.01
10	lilli_10	lilli_10_FL_0_011	0.244	0.043	19.9	0.184	0.054	0.19	0.418	0.217	0.228	58.425	23.739	34.686	0.011
11	lilli_10	lilli_10_FL_0_012	0.244	0.043	19.9	0.184	0.055	0.189	0.418	0.217	0.229	58.425	24.069	34.356	0.012
12	lilli_10	lilli_10_FL_0_013	0.244	0.043	19.9	0.185	0.056	0.188	0.418	0.217	0.23	58.425	24.396	34.029	0.013
13	lilli_10	lilli_10_FL_0_014	0.244	0.043	19.9	0.186	0.057	0.187	0.418	0.217	0.231	58.425	24.72	33.705	0.014
14	lilli_10	lilli_10_FL_0_015	0.244	0.043	19.9	0.187	0.058	0.186	0.418	0.217	0.232	58.425	25.042	33.383	0.015
15	lilli_10	lilli_10_FL_0_016	0.244	0.043	19.9	0.188	0.059	0.185	0.418	0.217	0.233	58.425	25.361	33.065	0.016
