stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
1	mimmi_ch	mimmi_ch_FL_0_002	0.225	0.061	18.704	0.27	0.062	0.162	0.488	0.324	0.326	45.995	19.117	26.878	0.002
2	mimmi_ch	mimmi_ch_FL_0_003	0.225	0.061	18.704	0.271	0.063	0.161	0.488	0.324	0.327	45.995	19.362	26.633	0.003
3	mimmi_ch	mimmi_ch_FL_0_004	0.225	0.061	18.704	0.273	0.064	0.16	0.488	0.324	0.328	45.995	19.605	26.39	0.004
4	mimmi_ch	mimmi_ch_FL_0_005	0.225	0.061	18.704	0.274	0.065	0.159	0.488	0.324	0.329	45.995	19.847	26.148	0.005
5	mimmi_ch	mimmi_ch_FL_0_006	0.225	0.061	18.704	0.275	0.066	0.158	0.488	0.324	0.33	45.995	20.088	25.907	0.006
6	mimmi_ch	mimmi_ch_FL_0_007	0.225	0.061	18.704	0.276	0.067	0.157	0.488	0.324	0.331	45.995	20.327	25.668	0.007
7	mimmi_ch	mimmi_ch_FL_0_008	0.225	0.061	18.704	0.278	0.068	0.156	0.488	0.324	0.332	45.995	20.565	25.431	0.008
8	mimmi_ch	mimmi_ch_FL_0_009	0.225	0.061	18.704	0.279	0.069	0.155	0.488	0.324	0.333	45.995	20.801	25.194	0.009
9	mimmi_ch	mimmi_ch_FL_0_010	0.225	0.061	18.704	0.28	0.07	0.154	0.488	0.324	0.334	45.995	21.036	24.959	0.01
10	mimmi_ch	mimmi_ch_FL_0_011	0.225	0.061	18.704	0.281	0.071	0.153	0.488	0.324	0.335	45.995	21.269	24.726	0.011
11	mimmi_ch	mimmi_ch_FL_0_012	0.225	0.061	18.704	0.283	0.072	0.152	0.488	0.324	0.336	45.995	21.501	24.494	0.012
12	mimmi_ch	mimmi_ch_FL_0_013	0.225	0.061	18.704	0.284	0.073	0.151	0.488	0.324	0.337	45.995	21.732	24.263	0.013
13	mimmi_ch	mimmi_ch_FL_0_014	0.225	0.061	18.704	0.285	0.074	0.15	0.488	0.324	0.338	45.995	21.961	24.034	0.014
14	mimmi_ch	mimmi_ch_FL_0_015	0.225	0.061	18.704	0.287	0.075	0.149	0.488	0.324	0.339	45.995	22.189	23.806	0.015
