stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
1	moni_lola_16	moni_lola_16_pause_0.005	0.79	0.005	0.0063	0.005	0.785	2.1687	1.3787	1.3837
2	moni_lola_16	moni_lola_16_pause_0.010	0.79	0.005	0.0064	0.01	0.78	2.1687	1.3787	1.3887
3	moni_lola_16	moni_lola_16_pause_0.015	0.79	0.005	0.0064	0.015	0.775	2.1687	1.3787	1.3937
4	moni_lola_16	moni_lola_16_pause_0.020	0.79	0.005	0.0065	0.02	0.77	2.1687	1.3787	1.3987
5	moni_lola_16	moni_lola_16_pause_0.025	0.79	0.005	0.0065	0.025	0.765	2.1687	1.3787	1.4037
6	moni_lola_16	moni_lola_16_pause_0.030	0.79	0.005	0.0065	0.03	0.76	2.1687	1.3787	1.4087
7	moni_lola_16	moni_lola_16_pause_0.035	0.79	0.005	0.0066	0.035	0.755	2.1687	1.3787	1.4137
8	moni_lola_16	moni_lola_16_pause_0.040	0.79	0.005	0.0066	0.04	0.75	2.1687	1.3787	1.4187
9	moni_lola_16	moni_lola_16_pause_0.045	0.79	0.005	0.0067	0.045	0.745	2.1687	1.3787	1.4237
10	moni_lola_16	moni_lola_16_pause_0.050	0.79	0.005	0.0067	0.05	0.74	2.1687	1.3787	1.4287
11	moni_lola_16	moni_lola_16_pause_0.055	0.79	0.005	0.0068	0.055	0.735	2.1687	1.3787	1.4337
12	moni_lola_16	moni_lola_16_pause_0.060	0.79	0.005	0.0068	0.06	0.73	2.1687	1.3787	1.4387
13	moni_lola_16	moni_lola_16_pause_0.065	0.79	0.005	0.0068	0.065	0.725	2.1687	1.3787	1.4437
14	moni_lola_16	moni_lola_16_pause_0.070	0.79	0.005	0.0069	0.07	0.72	2.1687	1.3787	1.4487
15	moni_lola_16	moni_lola_16_pause_0.075	0.79	0.005	0.0069	0.075	0.715	2.1687	1.3787	1.4537
16	moni_lola_16	moni_lola_16_pause_0.080	0.79	0.005	0.007	0.08	0.71	2.1687	1.3787	1.4587
17	moni_lola_16	moni_lola_16_pause_0.085	0.79	0.005	0.007	0.085	0.705	2.1687	1.3787	1.4637
18	moni_lola_16	moni_lola_16_pause_0.090	0.79	0.005	0.0071	0.09	0.7	2.1687	1.3787	1.4687
19	moni_lola_16	moni_lola_16_pause_0.095	0.79	0.005	0.0071	0.095	0.695	2.1687	1.3787	1.4737
20	moni_lola_16	moni_lola_16_pause_0.100	0.79	0.005	0.0072	0.1	0.69	2.1687	1.3787	1.4787
21	moni_lola_16	moni_lola_16_pause_0.105	0.79	0.005	0.0072	0.105	0.685	2.1687	1.3787	1.4837
22	moni_lola_16	moni_lola_16_pause_0.110	0.79	0.005	0.0073	0.11	0.68	2.1687	1.3787	1.4887
23	moni_lola_16	moni_lola_16_pause_0.115	0.79	0.005	0.0074	0.115	0.675	2.1687	1.3787	1.4937
24	moni_lola_16	moni_lola_16_pause_0.120	0.79	0.005	0.0074	0.12	0.67	2.1687	1.3787	1.4987
25	moni_lola_16	moni_lola_16_pause_0.125	0.79	0.005	0.0075	0.125	0.665	2.1687	1.3787	1.5037
26	moni_lola_16	moni_lola_16_pause_0.130	0.79	0.005	0.0075	0.13	0.66	2.1687	1.3787	1.5087
27	moni_lola_16	moni_lola_16_pause_0.135	0.79	0.005	0.0076	0.135	0.655	2.1687	1.3787	1.5137
28	moni_lola_16	moni_lola_16_pause_0.140	0.79	0.005	0.0076	0.14	0.65	2.1687	1.3787	1.5187
29	moni_lola_16	moni_lola_16_pause_0.145	0.79	0.005	0.0077	0.145	0.645	2.1687	1.3787	1.5237
30	moni_lola_16	moni_lola_16_pause_0.150	0.79	0.005	0.0078	0.15	0.64	2.1687	1.3787	1.5287
31	moni_lola_16	moni_lola_16_pause_0.155	0.79	0.005	0.0078	0.155	0.635	2.1687	1.3787	1.5337
32	moni_lola_16	moni_lola_16_pause_0.160	0.79	0.005	0.0079	0.16	0.63	2.1687	1.3787	1.5387
33	moni_lola_16	moni_lola_16_pause_0.165	0.79	0.005	0.0079	0.165	0.625	2.1687	1.3787	1.5437
34	moni_lola_16	moni_lola_16_pause_0.170	0.79	0.005	0.008	0.17	0.62	2.1687	1.3787	1.5487
35	moni_lola_16	moni_lola_16_pause_0.175	0.79	0.005	0.0081	0.175	0.615	2.1687	1.3787	1.5537
36	moni_lola_16	moni_lola_16_pause_0.180	0.79	0.005	0.0081	0.18	0.61	2.1687	1.3787	1.5587
37	moni_lola_16	moni_lola_16_pause_0.185	0.79	0.005	0.0082	0.185	0.605	2.1687	1.3787	1.5637
38	moni_lola_16	moni_lola_16_pause_0.190	0.79	0.005	0.0083	0.19	0.6	2.1687	1.3787	1.5687
39	moni_lola_16	moni_lola_16_pause_0.195	0.79	0.005	0.0083	0.195	0.595	2.1687	1.3787	1.5737
40	moni_lola_16	moni_lola_16_pause_0.200	0.79	0.005	0.0084	0.2	0.59	2.1687	1.3787	1.5787
41	moni_lola_16	moni_lola_16_pause_0.205	0.79	0.005	0.0085	0.205	0.585	2.1687	1.3787	1.5837
42	moni_lola_16	moni_lola_16_pause_0.210	0.79	0.005	0.0085	0.21	0.58	2.1687	1.3787	1.5887
43	moni_lola_16	moni_lola_16_pause_0.215	0.79	0.005	0.0086	0.215	0.575	2.1687	1.3787	1.5937
