stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	uttDurOrig	uttDurMin	uttDurNew
1	lilli_lisa_ch	lilli_lisa_ch_pause_0_549	0.55	0	0.998	0.549	1.778	1.228	1.777
2	lilli_lisa_ch	lilli_lisa_ch_pause_0_548	0.55	0	0.996	0.548	1.778	1.228	1.776
3	lilli_lisa_ch	lilli_lisa_ch_pause_0_547	0.55	0	0.995	0.547	1.778	1.228	1.775
4	lilli_lisa_ch	lilli_lisa_ch_pause_0_546	0.55	0	0.993	0.546	1.778	1.228	1.774
5	lilli_lisa_ch	lilli_lisa_ch_pause_0_545	0.55	0	0.991	0.545	1.778	1.228	1.773
6	lilli_lisa_ch	lilli_lisa_ch_pause_0_544	0.55	0	0.989	0.544	1.778	1.228	1.772
7	lilli_lisa_ch	lilli_lisa_ch_pause_0_543	0.55	0	0.987	0.543	1.778	1.228	1.771
8	lilli_lisa_ch	lilli_lisa_ch_pause_0_542	0.55	0	0.985	0.542	1.778	1.228	1.77
9	lilli_lisa_ch	lilli_lisa_ch_pause_0_541	0.55	0	0.984	0.541	1.778	1.228	1.769
10	lilli_lisa_ch	lilli_lisa_ch_pause_0_540	0.55	0	0.982	0.54	1.778	1.228	1.768
11	lilli_lisa_ch	lilli_lisa_ch_pause_0_539	0.55	0	0.98	0.539	1.778	1.228	1.767
12	lilli_lisa_ch	lilli_lisa_ch_pause_0_538	0.55	0	0.978	0.538	1.778	1.228	1.766
13	lilli_lisa_ch	lilli_lisa_ch_pause_0_537	0.55	0	0.976	0.537	1.778	1.228	1.765
14	lilli_lisa_ch	lilli_lisa_ch_pause_0_536	0.55	0	0.975	0.536	1.778	1.228	1.764
15	lilli_lisa_ch	lilli_lisa_ch_pause_0_535	0.55	0	0.973	0.535	1.778	1.228	1.763
16	lilli_lisa_ch	lilli_lisa_ch_pause_0_534	0.55	0	0.971	0.534	1.778	1.228	1.762
17	lilli_lisa_ch	lilli_lisa_ch_pause_0_533	0.55	0	0.969	0.533	1.778	1.228	1.761
18	lilli_lisa_ch	lilli_lisa_ch_pause_0_532	0.55	0	0.967	0.532	1.778	1.228	1.76
19	lilli_lisa_ch	lilli_lisa_ch_pause_0_531	0.55	0	0.965	0.531	1.778	1.228	1.759
20	lilli_lisa_ch	lilli_lisa_ch_pause_0_530	0.55	0	0.964	0.53	1.778	1.228	1.758
21	lilli_lisa_ch	lilli_lisa_ch_pause_0_529	0.55	0	0.962	0.529	1.778	1.228	1.757
22	lilli_lisa_ch	lilli_lisa_ch_pause_0_528	0.55	0	0.96	0.528	1.778	1.228	1.756
23	lilli_lisa_ch	lilli_lisa_ch_pause_0_527	0.55	0	0.958	0.527	1.778	1.228	1.755
24	lilli_lisa_ch	lilli_lisa_ch_pause_0_526	0.55	0	0.956	0.526	1.778	1.228	1.754
25	lilli_lisa_ch	lilli_lisa_ch_pause_0_525	0.55	0	0.955	0.525	1.778	1.228	1.753
26	lilli_lisa_ch	lilli_lisa_ch_pause_0_524	0.55	0	0.953	0.524	1.778	1.228	1.752
27	lilli_lisa_ch	lilli_lisa_ch_pause_0_523	0.55	0	0.951	0.523	1.778	1.228	1.751
28	lilli_lisa_ch	lilli_lisa_ch_pause_0_522	0.55	0	0.949	0.522	1.778	1.228	1.75
29	lilli_lisa_ch	lilli_lisa_ch_pause_0_521	0.55	0	0.947	0.521	1.778	1.228	1.749
30	lilli_lisa_ch	lilli_lisa_ch_pause_0_520	0.55	0	0.945	0.52	1.778	1.228	1.748
31	lilli_lisa_ch	lilli_lisa_ch_pause_0_519	0.55	0	0.944	0.519	1.778	1.228	1.747
32	lilli_lisa_ch	lilli_lisa_ch_pause_0_518	0.55	0	0.942	0.518	1.778	1.228	1.746
33	lilli_lisa_ch	lilli_lisa_ch_pause_0_517	0.55	0	0.94	0.517	1.778	1.228	1.745
34	lilli_lisa_ch	lilli_lisa_ch_pause_0_516	0.55	0	0.938	0.516	1.778	1.228	1.744
35	lilli_lisa_ch	lilli_lisa_ch_pause_0_515	0.55	0	0.936	0.515	1.778	1.228	1.743
36	lilli_lisa_ch	lilli_lisa_ch_pause_0_514	0.55	0	0.935	0.514	1.778	1.228	1.742
37	lilli_lisa_ch	lilli_lisa_ch_pause_0_513	0.55	0	0.933	0.513	1.778	1.228	1.741
38	lilli_lisa_ch	lilli_lisa_ch_pause_0_512	0.55	0	0.931	0.512	1.778	1.228	1.74
39	lilli_lisa_ch	lilli_lisa_ch_pause_0_511	0.55	0	0.929	0.511	1.778	1.228	1.739
40	lilli_lisa_ch	lilli_lisa_ch_pause_0_510	0.55	0	0.927	0.51	1.778	1.228	1.738
41	lilli_lisa_ch	lilli_lisa_ch_pause_0_509	0.55	0	0.925	0.509	1.778	1.228	1.737
42	lilli_lisa_ch	lilli_lisa_ch_pause_0_508	0.55	0	0.924	0.508	1.778	1.228	1.736
43	lilli_lisa_ch	lilli_lisa_ch_pause_0_507	0.55	0	0.922	0.507	1.778	1.228	1.735
44	lilli_lisa_ch	lilli_lisa_ch_pause_0_506	0.55	0	0.92	0.506	1.778	1.228	1.734
45	lilli_lisa_ch	lilli_lisa_ch_pause_0_505	0.55	0	0.918	0.505	1.778	1.228	1.733
46	lilli_lisa_ch	lilli_lisa_ch_pause_0_504	0.55	0	0.916	0.504	1.778	1.228	1.732
47	lilli_lisa_ch	lilli_lisa_ch_pause_0_503	0.55	0	0.915	0.503	1.778	1.228	1.731
48	lilli_lisa_ch	lilli_lisa_ch_pause_0_502	0.55	0	0.913	0.502	1.778	1.228	1.73
49	lilli_lisa_ch	lilli_lisa_ch_pause_0_501	0.55	0	0.911	0.501	1.778	1.228	1.729
50	lilli_lisa_ch	lilli_lisa_ch_pause_0_500	0.55	0	0.909	0.5	1.778	1.228	1.728
51	lilli_lisa_ch	lilli_lisa_ch_pause_0_499	0.55	0	0.907	0.499	1.778	1.228	1.727
52	lilli_lisa_ch	lilli_lisa_ch_pause_0_498	0.55	0	0.905	0.498	1.778	1.228	1.726
53	lilli_lisa_ch	lilli_lisa_ch_pause_0_497	0.55	0	0.904	0.497	1.778	1.228	1.725
54	lilli_lisa_ch	lilli_lisa_ch_pause_0_496	0.55	0	0.902	0.496	1.778	1.228	1.724
55	lilli_lisa_ch	lilli_lisa_ch_pause_0_495	0.55	0	0.9	0.495	1.778	1.228	1.723
56	lilli_lisa_ch	lilli_lisa_ch_pause_0_494	0.55	0	0.898	0.494	1.778	1.228	1.722
57	lilli_lisa_ch	lilli_lisa_ch_pause_0_493	0.55	0	0.896	0.493	1.778	1.228	1.721
58	lilli_lisa_ch	lilli_lisa_ch_pause_0_492	0.55	0	0.895	0.492	1.778	1.228	1.72
59	lilli_lisa_ch	lilli_lisa_ch_pause_0_491	0.55	0	0.893	0.491	1.778	1.228	1.719
60	lilli_lisa_ch	lilli_lisa_ch_pause_0_490	0.55	0	0.891	0.49	1.778	1.228	1.718
61	lilli_lisa_ch	lilli_lisa_ch_pause_0_489	0.55	0	0.889	0.489	1.778	1.228	1.717
62	lilli_lisa_ch	lilli_lisa_ch_pause_0_488	0.55	0	0.887	0.488	1.778	1.228	1.716
63	lilli_lisa_ch	lilli_lisa_ch_pause_0_487	0.55	0	0.885	0.487	1.778	1.228	1.715
64	lilli_lisa_ch	lilli_lisa_ch_pause_0_486	0.55	0	0.884	0.486	1.778	1.228	1.714
65	lilli_lisa_ch	lilli_lisa_ch_pause_0_485	0.55	0	0.882	0.485	1.778	1.228	1.713
66	lilli_lisa_ch	lilli_lisa_ch_pause_0_484	0.55	0	0.88	0.484	1.778	1.228	1.712
67	lilli_lisa_ch	lilli_lisa_ch_pause_0_483	0.55	0	0.878	0.483	1.778	1.228	1.711
68	lilli_lisa_ch	lilli_lisa_ch_pause_0_482	0.55	0	0.876	0.482	1.778	1.228	1.71
69	lilli_lisa_ch	lilli_lisa_ch_pause_0_481	0.55	0	0.875	0.481	1.778	1.228	1.709
70	lilli_lisa_ch	lilli_lisa_ch_pause_0_480	0.55	0	0.873	0.48	1.778	1.228	1.708
71	lilli_lisa_ch	lilli_lisa_ch_pause_0_479	0.55	0	0.871	0.479	1.778	1.228	1.707
72	lilli_lisa_ch	lilli_lisa_ch_pause_0_478	0.55	0	0.869	0.478	1.778	1.228	1.706
73	lilli_lisa_ch	lilli_lisa_ch_pause_0_477	0.55	0	0.867	0.477	1.778	1.228	1.705
74	lilli_lisa_ch	lilli_lisa_ch_pause_0_476	0.55	0	0.865	0.476	1.778	1.228	1.704
75	lilli_lisa_ch	lilli_lisa_ch_pause_0_475	0.55	0	0.864	0.475	1.778	1.228	1.703
76	lilli_lisa_ch	lilli_lisa_ch_pause_0_474	0.55	0	0.862	0.474	1.778	1.228	1.702
77	lilli_lisa_ch	lilli_lisa_ch_pause_0_473	0.55	0	0.86	0.473	1.778	1.228	1.701
78	lilli_lisa_ch	lilli_lisa_ch_pause_0_472	0.55	0	0.858	0.472	1.778	1.228	1.7
79	lilli_lisa_ch	lilli_lisa_ch_pause_0_471	0.55	0	0.856	0.471	1.778	1.228	1.699
80	lilli_lisa_ch	lilli_lisa_ch_pause_0_470	0.55	0	0.855	0.47	1.778	1.228	1.698
81	lilli_lisa_ch	lilli_lisa_ch_pause_0_469	0.55	0	0.853	0.469	1.778	1.228	1.697
82	lilli_lisa_ch	lilli_lisa_ch_pause_0_468	0.55	0	0.851	0.468	1.778	1.228	1.696
83	lilli_lisa_ch	lilli_lisa_ch_pause_0_467	0.55	0	0.849	0.467	1.778	1.228	1.695
84	lilli_lisa_ch	lilli_lisa_ch_pause_0_466	0.55	0	0.847	0.466	1.778	1.228	1.694
85	lilli_lisa_ch	lilli_lisa_ch_pause_0_465	0.55	0	0.845	0.465	1.778	1.228	1.693
86	lilli_lisa_ch	lilli_lisa_ch_pause_0_464	0.55	0	0.844	0.464	1.778	1.228	1.692
87	lilli_lisa_ch	lilli_lisa_ch_pause_0_463	0.55	0	0.842	0.463	1.778	1.228	1.691
88	lilli_lisa_ch	lilli_lisa_ch_pause_0_462	0.55	0	0.84	0.462	1.778	1.228	1.69
89	lilli_lisa_ch	lilli_lisa_ch_pause_0_461	0.55	0	0.838	0.461	1.778	1.228	1.689
90	lilli_lisa_ch	lilli_lisa_ch_pause_0_460	0.55	0	0.836	0.46	1.778	1.228	1.688
91	lilli_lisa_ch	lilli_lisa_ch_pause_0_459	0.55	0	0.835	0.459	1.778	1.228	1.687
