stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise
1	nelli_ch	nelli_ch_rise_13_09	13.1123	161.3699	344.1556	13.0923	343.7583	0.02
2	nelli_ch	nelli_ch_rise_13_07	13.1123	161.3699	344.1556	13.0723	343.3614	0.04
3	nelli_ch	nelli_ch_rise_13_05	13.1123	161.3699	344.1556	13.0523	342.9649	0.06
4	nelli_ch	nelli_ch_rise_13_03	13.1123	161.3699	344.1556	13.0323	342.569	0.08
5	nelli_ch	nelli_ch_rise_13_01	13.1123	161.3699	344.1556	13.0123	342.1734	0.1
6	nelli_ch	nelli_ch_rise_12_99	13.1123	161.3699	344.1556	12.9923	341.7784	0.12
7	nelli_ch	nelli_ch_rise_12_97	13.1123	161.3699	344.1556	12.9723	341.3838	0.14
8	nelli_ch	nelli_ch_rise_12_95	13.1123	161.3699	344.1556	12.9523	340.9896	0.16
9	nelli_ch	nelli_ch_rise_12_93	13.1123	161.3699	344.1556	12.9323	340.5959	0.18
10	nelli_ch	nelli_ch_rise_12_91	13.1123	161.3699	344.1556	12.9123	340.2027	0.2
11	nelli_ch	nelli_ch_rise_12_89	13.1123	161.3699	344.1556	12.8923	339.8099	0.22
12	nelli_ch	nelli_ch_rise_12_87	13.1123	161.3699	344.1556	12.8723	339.4175	0.24
13	nelli_ch	nelli_ch_rise_12_85	13.1123	161.3699	344.1556	12.8523	339.0256	0.26
14	nelli_ch	nelli_ch_rise_12_83	13.1123	161.3699	344.1556	12.8323	338.6342	0.28
15	nelli_ch	nelli_ch_rise_12_81	13.1123	161.3699	344.1556	12.8123	338.2432	0.3
16	nelli_ch	nelli_ch_rise_12_79	13.1123	161.3699	344.1556	12.7923	337.8527	0.32
17	nelli_ch	nelli_ch_rise_12_77	13.1123	161.3699	344.1556	12.7723	337.4626	0.34
18	nelli_ch	nelli_ch_rise_12_75	13.1123	161.3699	344.1556	12.7523	337.073	0.36
19	nelli_ch	nelli_ch_rise_12_73	13.1123	161.3699	344.1556	12.7323	336.6838	0.38
20	nelli_ch	nelli_ch_rise_12_71	13.1123	161.3699	344.1556	12.7123	336.2951	0.4
21	nelli_ch	nelli_ch_rise_12_69	13.1123	161.3699	344.1556	12.6923	335.9068	0.42
22	nelli_ch	nelli_ch_rise_12_67	13.1123	161.3699	344.1556	12.6723	335.519	0.44
23	nelli_ch	nelli_ch_rise_12_65	13.1123	161.3699	344.1556	12.6523	335.1316	0.46
24	nelli_ch	nelli_ch_rise_12_63	13.1123	161.3699	344.1556	12.6323	334.7447	0.48
25	nelli_ch	nelli_ch_rise_12_61	13.1123	161.3699	344.1556	12.6123	334.3582	0.5
26	nelli_ch	nelli_ch_rise_12_59	13.1123	161.3699	344.1556	12.5923	333.9721	0.52
27	nelli_ch	nelli_ch_rise_12_57	13.1123	161.3699	344.1556	12.5723	333.5865	0.54
28	nelli_ch	nelli_ch_rise_12_55	13.1123	161.3699	344.1556	12.5523	333.2014	0.56
29	nelli_ch	nelli_ch_rise_12_53	13.1123	161.3699	344.1556	12.5323	332.8167	0.58
30	nelli_ch	nelli_ch_rise_12_51	13.1123	161.3699	344.1556	12.5123	332.4324	0.6
31	nelli_ch	nelli_ch_rise_12_49	13.1123	161.3699	344.1556	12.4923	332.0486	0.62
32	nelli_ch	nelli_ch_rise_12_47	13.1123	161.3699	344.1556	12.4723	331.6652	0.64
33	nelli_ch	nelli_ch_rise_12_45	13.1123	161.3699	344.1556	12.4523	331.2823	0.66
34	nelli_ch	nelli_ch_rise_12_43	13.1123	161.3699	344.1556	12.4323	330.8998	0.68
35	nelli_ch	nelli_ch_rise_12_41	13.1123	161.3699	344.1556	12.4123	330.5178	0.7
36	nelli_ch	nelli_ch_rise_12_39	13.1123	161.3699	344.1556	12.3923	330.1361	0.72
37	nelli_ch	nelli_ch_rise_12_37	13.1123	161.3699	344.1556	12.3723	329.755	0.74
38	nelli_ch	nelli_ch_rise_12_35	13.1123	161.3699	344.1556	12.3523	329.3742	0.76
39	nelli_ch	nelli_ch_rise_12_33	13.1123	161.3699	344.1556	12.3323	328.994	0.78
